Phenotype	UMAP_1	UMAP_2
AA	7.492615	-0.23751318
AC	16.170918	4.138355
A02B	14.95681	9.513418
A10	0.6961759	-2.1771288
AD	16.075554	6.7213306
AF	3.1521354	1.1134475
AG	5.2390723	9.670624
AIH	9.391923	8.666683
ALP	7.1859283	6.76001
ALT	2.8124204	20.769026
AP	8.177657	13.094122
AR	16.596354	3.8658993
ARF	4.697554	8.160886
AST	3.2485235	20.772957
ATR	7.7360086	8.506726
Abo	4.65309	9.077398
Alb	0.7267331	20.385109
Ang	7.3598695	-2.8599465
ApA	7.4872837	9.165604
As	17.682083	6.0449305
B01A	5.414215	-3.0900655
BAS	-8.805604	7.7092304
BC	-5.252123	2.0283906
BD	7.124158	7.1895757
BMI	2.5321047	-6.6037383
BP	5.4321446	14.33439
BT	6.1364083	11.223755
BUN	5.8082213	0.3855127
BW	3.044653	-7.0137906
Br	4.6316357	13.445473
Bro	5.393387	12.019751
BtC	7.3212786	11.71081
C01D	6.5265536	-3.4674351
C02	3.8573325	-3.6261516
C03	4.269297	-0.96898144
C07	4.448092	-2.51869
C08	4.028264	-4.422019
C09	4.3089786	-3.6797256
C10AA	5.024921	-3.3874724
CA_Un	11.160172	-0.6512265
CB	5.054658	12.889082
CC	7.596895	16.862564
CD	6.0523157	14.149203
CF	12.73293	5.440475
CG	6.2272997	13.559585
CHB	6.714211	20.124397
CHC	7.1605344	20.135708
CHF	3.8708222	1.0099037
CL	8.9531145	12.183399
COPD	18.192953	6.3051863
CP	6.907067	16.026897
CS	4.138573	9.120499
CRF	7.014132	1.1171554
CRP	6.697705	5.928951
CSOM	13.32636	3.736818
CTS	7.756824	10.438614
CVD	3.2226527	2.0099673
Ca	0.36550915	20.847052
Car	5.963392	12.088641
Cat	21.556997	5.640893
CeAn	11.010775	-1.1508476
CeC	-4.7631326	1.7027624
ChG	6.5601306	3.6992834
ChP	8.409276	12.377186
ChS	16.13876	3.01638
Cho	8.793524	12.86684
Cir	6.518627	20.008347
Co	5.7722325	14.788897
Cys	9.072391	6.358575
DBP	3.2044446	-6.075015
DC	3.5421627	0.63606113
DN	7.248199	1.6003466
Dep	11.705836	11.842279
Dip	11.416757	13.469558
Dys	11.135132	13.394864
EC	9.225293	15.818919
EM	-4.5952682	3.1040337
EOS	-9.0363035	7.5272036
EV	6.2461786	19.402044
EcP	7.350583	19.25204
EnC	-5.320021	1.7647797
Ep	10.737919	0.6295167
FA	15.526614	4.327744
FNP	6.722907	7.9602575
FS	11.138574	1.825454
GBP	6.627042	13.106419
GC	8.088067	16.664461
GD	-3.0991526	11.413945
GERD	6.171058	12.594283
GGT	3.5218592	20.975609
GP	6.5806117	15.275212
GU	11.970653	2.8407414
Gla	21.843985	5.454851
Glucose	0.05403096	-1.1334684
Goi	-1.4373777	11.00781
H03A	-2.259328	11.315173
HAV	9.578285	10.171838
HC	3.9999444	1.9475472
HD	-2.729628	10.891569
HDLC	2.9604032	5.148919
HI	11.917795	3.7233424
HL	12.841029	4.47827
Hb	1.6780894	19.592901
HbA1c	0.057857506	-1.6170621
Hei	3.7434316	-6.776301
Her	8.318989	10.526706
Ht	1.4475471	20.128284
Hype	-2.8960853	11.058973
Hypo	-2.3777888	10.815369
IDA	11.656012	2.6952875
IH	10.2588005	-0.2864106
ILD	11.279481	8.669605
IN	6.082312	4.8002934
IS	9.713668	-1.4675151
ITP	6.0447273	8.014539
Ile	6.734455	14.346136
InH	7.1743903	11.103213
Ins	6.7577515	11.674517
Iri	7.135011	7.806726
JRA	3.9393182	9.672025
Kel	7.6856427	9.42986
L04	14.2533245	7.455741
LDLC	3.4751062	4.1395245
LYM	-8.5975685	7.175157
LiC	6.9883165	19.340958
LuC	13.933651	9.811923
M01A	14.754785	8.479531
M05B	13.590779	7.288962
MA	8.621034	8.34902
MAP	2.7741382	-6.040393
MCH	2.0651543	17.302507
MCHC	1.7351828	18.291162
MCV	2.4345944	16.314287
MG	10.36178	10.495896
MI	6.45585	-3.630866
ML	5.363822	9.414817
MON	-7.981729	7.7304635
Mas	5.724878	8.5111885
Men	6.6925716	9.262908
Myo	4.865175	2.8688912
N02A	14.585668	9.792826
N02BA	5.6534414	-3.6874378
N02BE	15.335729	9.159659
N02C	11.881694	11.3462
N06A	12.2468195	11.550257
NB	8.221197	9.037767
NEU	-7.760018	7.044125
NMI	5.321836	7.6297708
NP	15.7284775	2.4836166
NS	7.297179	2.1672385
OC	-5.020735	2.370364
OP	13.242621	6.5033135
OvC	-4.4614353	3.400965
PA	15.766563	6.415068
PAD	7.22865	-1.2860972
PD	6.2229977	9.657358
PE	3.4365067	10.297182
PF	10.517739	9.077499
PKD	7.1004553	10.43022
PLC	9.697639	15.041455
SBP	3.0361104	-5.9151726
SD	9.966833	4.6075015
SLE	12.657645	8.074862
Sch	7.062608	12.3237705
T1D	0.6200336	-1.7815616
TBil	1.0146616	19.565409
TG	1.9438862	2.9040499
TS	5.0437846	10.582036
ThC	-1.7811791	11.159551
Typ	11.002131	13.157058
UAP	7.255679	-3.5528715
UF	-4.698713	2.3129275
Uro	9.878175	7.062919
Uve	6.2821703	6.8229904
Var	7.2034903	8.833828
Zos	8.510364	10.52813
PLT	-7.858958	7.3943105
PM	9.959489	8.555294
PP	3.1392643	-5.315252
PT	4.90021	7.684479
PaC	13.564134	10.374151
PeD	12.56692	3.4224608
Per	5.111812	8.667826
Pl	4.477404	11.56161
Pn	4.177467	12.157942
Pne	7.754286	7.6734776
Pneu	3.6555104	10.994922
Pol	16.24355	3.558893
PrC	8.618499	9.934767
PsV	4.5256176	10.302333
Pye	9.425418	7.1252203
R03A	18.360466	6.3488965
R03BA	17.62411	6.801673
R06A	16.613756	7.3331995
RA	13.66437	7.982491
RBC	1.743789	20.29281
RD	21.882627	5.9532213
RF	3.894778	6.1497707
RP	6.417225	10.717616
RW	5.247519	13.987747
S01E	21.083664	5.784326
SAP	7.0107536	-3.0801268
SAS	6.5553675	10.601211
SCS	9.184468	10.875773
SH	10.713933	-0.55974877
SS	12.921398	8.114195
Sar	5.667506	6.894749
SkC	6.41159	8.80513
T2D	0.11673425	-1.8289951
TC	2.5605078	4.057739
TP	0.77310777	20.766695
Tat	10.254266	4.8346353
Ton	6.0654674	10.391224
UA	5.3734546	-0.04572117
UC	6.024097	8.866508
UP	7.9649334	6.56114
Urt	14.59044	3.819663
VA	3.0903175	0.8517414
WBC	-8.274767	6.728382
sCr	6.055466	-0.05428003
