phe1_name	phe2_name	gcor	gcor_SE	zscore	P	phe1_isBinary	phe2_isBinary	ToMultiply	gcor_old	zscore_old
AA	AA	1.0	2.9156e-06	342981.8279	0.0	True	True	1	1.0	342981.8279
AA	AC	-0.2612	0.2395	-1.0909	0.2753	True	True	1	-0.2612	-1.0909
AA	A02B	0.3232	0.1697	1.9049	0.0568	True	True	1	0.3232	1.9049
AA	A10	0.1206	0.0747	1.6141	0.1065	True	True	1	0.1206	1.6141
AA	AD	-0.1745	0.1328	-1.314	0.1888	True	True	1	-0.1745	-1.314
AA	AF	-0.0619	0.1589	-0.3893	0.6971	True	True	1	-0.0619	-0.3893
AA	AG	NA	NA	NA	NA	True	True	1	NA	NA
AA	AIH	0.0739	0.179	0.4129	0.6797	True	True	1	0.0739	0.4129
AA	ALP	0.0594	0.0801	0.7415	0.4584	True	False	-1	-0.0594	-0.7415
AA	ALT	-0.2993	0.0852	-3.5135	0.0004	True	False	-1	0.2993	3.5135
AA	AP	0.2385	0.2436	0.9794	0.3274	True	True	1	0.2385	0.9794
AA	AR	-0.3839	0.1631	-2.3546	0.0185	True	True	1	-0.3839	-2.3546
AA	ARF	0.055	0.2378	0.2315	0.817	True	True	1	0.055	0.2315
AA	AST	-0.2693	0.0894	-3.012	0.0026	True	False	-1	0.2693	3.012
AA	ATR	0.1763	0.3321	0.531	0.5954	True	True	1	0.1763	0.531
AA	Abo	NA	NA	NA	NA	True	True	1	NA	NA
AA	Alb	-0.1291	0.0961	-1.3445	0.1788	True	False	-1	0.1291	1.3445
AA	Ang	0.1595	0.1077	1.481	0.1386	True	True	1	0.1595	1.481
AA	ApA	-0.0402	0.3004	-0.1339	0.8935	True	True	1	-0.0402	-0.1339
AA	As	0.001	0.1094	0.0088	0.993	True	True	1	0.001	0.0088
AA	B01A	0.3538	0.1095	3.2307	0.0012	True	True	1	0.3538	3.2307
AA	BAS	-0.09	0.0977	-0.9213	0.3569	True	False	-1	0.09	0.9213
AA	BC	-0.2127	0.1617	-1.3156	0.1883	True	True	1	-0.2127	-1.3156
AA	BD	-0.0757	0.32	-0.2364	0.8131	True	True	1	-0.0757	-0.2364
AA	BMI	0.0847	0.0535	1.5815	0.1138	True	False	-1	-0.0847	-1.5815
AA	BP	NA	NA	NA	NA	True	True	1	NA	NA
AA	BT	NA	NA	NA	NA	True	True	1	NA	NA
AA	BUN	0.2577	0.087	2.9609	0.0031	True	False	-1	-0.2577	-2.9609
AA	BW	0.1053	0.0521	2.0216	0.0432	True	False	-1	-0.1053	-2.0216
AA	Br	NA	NA	NA	NA	True	True	1	NA	NA
AA	Bro	NA	NA	NA	NA	True	True	1	NA	NA
AA	BtC	NA	NA	NA	NA	True	True	1	NA	NA
AA	C01D	0.225	0.1019	2.209	0.0272	True	True	1	0.225	2.209
AA	C02	0.3234	0.1558	2.0754	0.0379	True	True	1	0.3234	2.0754
AA	C03	0.4401	0.1319	3.3377	0.0008	True	True	1	0.4401	3.3377
AA	C07	0.3697	0.1201	3.0778	0.0021	True	True	1	0.3697	3.0778
AA	C08	0.2717	0.0993	2.7348	0.0062	True	True	1	0.2717	2.7348
AA	C09	0.2353	0.0916	2.567	0.0103	True	True	1	0.2353	2.567
AA	C10AA	0.3023	0.0952	3.1758	0.0015	True	True	1	0.3023	3.1758
AA	CA_Un	NA	NA	NA	NA	True	True	1	NA	NA
AA	CB	NA	NA	NA	NA	True	True	1	NA	NA
AA	CC	0.0306	0.1182	0.2589	0.7957	True	True	1	0.0306	0.2589
AA	CD	-0.2541	0.3174	-0.8003	0.4235	True	True	1	-0.2541	-0.8003
AA	CF	0.5057	0.5634	0.8976	0.3694	True	True	1	0.5057	0.8976
AA	CG	0.1369	0.4371	0.3131	0.7542	True	True	1	0.1369	0.3131
AA	CHB	0.1144	0.207	0.5529	0.5804	True	True	1	0.1144	0.5529
AA	CHC	0.0491	0.1866	0.2631	0.7925	True	True	1	0.0491	0.2631
AA	CHF	0.3399	0.163	2.085	0.0371	True	True	1	0.3399	2.085
AA	CL	0.0827	0.1281	0.6454	0.5187	True	True	1	0.0827	0.6454
AA	COPD	0.193	0.1583	1.219	0.2228	True	True	1	0.193	1.219
AA	CP	0.1777	0.2359	0.753	0.4514	True	True	1	0.1777	0.753
AA	CS	NA	NA	NA	NA	True	True	1	NA	NA
AA	CRF	0.8371	0.6266	1.3359	0.1816	True	True	1	0.8371	1.3359
AA	CRP	0.2491	0.2089	1.1928	0.233	True	False	-1	-0.2491	-1.1928
AA	CSOM	0.5087	0.4794	1.0611	0.2886	True	True	1	0.5087	1.0611
AA	CTS	0.0179	0.2251	0.0797	0.9365	True	True	1	0.0179	0.0797
AA	CVD	NA	NA	NA	NA	True	True	1	NA	NA
AA	Ca	-0.1262	0.1092	-1.1559	0.2477	True	False	-1	0.1262	1.1559
AA	Car	0.2434	0.3201	0.7603	0.4471	True	True	1	0.2434	0.7603
AA	Cat	-0.4105	0.1928	-2.1297	0.0332	True	True	1	-0.4105	-2.1297
AA	CeAn	0.3547	0.157	2.2591	0.0239	True	True	1	0.3547	2.2591
