Phenotype	UMAP_1	UMAP_2
6150_1	16.705032	-6.361046
I9_HYPTENS	15.647737	-0.318479
I10	16.390251	-0.08125817
I21	17.17894	-7.263963
I9_MI	16.546274	-7.497239
I9_CHD	16.566086	-8.301256
I9_IHD	15.125744	-8.701455
I9_CORATHER	15.623015	-8.898049
HEARTFAIL	15.555067	-4.7861323
E66	5.07329	9.91928
E4_DM1	8.326644	9.358889
E4_DM2	5.592162	11.287761
CAD_2015	16.504757	-5.946586
HDL_2013	16.593624	-1.5485921
LDL_2013	17.591806	-4.5012684
TC_2013	17.247248	-3.204679
TG_2013	16.634077	-3.7513747
FG_2011	7.3299685	10.550057
50_irnt	30.586054	4.145953
5097_irnt	-4.840795	19.75532
20153_irnt	29.067749	4.152226
5134_irnt	-5.9741263	20.40169
5133_irnt	-6.5675125	20.804628
5098_irnt	-6.1432295	19.86343
5096_irnt	-5.55741	18.701078
5099_irnt	-6.555406	18.598154
5135_irnt	-6.548486	19.762989
5132_irnt	-7.1561713	19.444584
20015_irnt	29.768372	3.129939
5257_irnt	7.739101	26.964787
4105_irnt	-11.406904	8.215269
4124_irnt	-10.491073	7.3259635
4106_irnt	-12.250204	7.4731445
4104_irnt	-12.524758	8.612956
4123_irnt	-9.538389	7.766171
4125_irnt	-9.484485	6.8099427
5085_irnt	-0.43440014	6.3842626
5084_irnt	-0.23804347	7.3970995
4100_irnt	24.893257	-9.824328
3148_irnt	-14.724444	4.306047
78_irnt	-15.101286	4.986257
3147_irnt	-14.999151	5.529504
4119_irnt	24.011625	-9.965391
5265_irnt	6.75535	26.46047
23101_irnt	31.83764	-0.00023797728
23102_irnt	31.104725	-0.26058584
3143_irnt	24.715317	-11.094259
4101_irnt	-13.278667	8.010105
23129_irnt	30.458078	1.356695
23105_irnt	31.670969	-1.757463
23130_irnt	30.957779	1.006689
4120_irnt	-8.990609	7.3109903
3144_irnt	-16.194548	4.81545
23113_irnt	31.676712	-3.3511348
23114_irnt	30.76279	-3.6751595
23117_irnt	31.253464	-3.1731007
23118_irnt	30.479439	-3.5455666
5256_irnt	6.825563	27.316326
23122_irnt	30.251305	-1.126123
23121_irnt	29.377981	-1.4102726
23125_irnt	29.89445	-0.612367
23126_irnt	30.02451	-1.3208425
23106_irnt	-14.109256	18.511932
23098_irnt	23.472563	-11.650837
21002_irnt	23.228384	-11.512699
30770_irnt	14.331709	7.1895323
23108_irnt	-12.823487	18.684103
23107_irnt	-13.37007	17.99575
23104_irnt	22.344526	-13.767546
1697	30.116331	3.3641245
21001_irnt	21.79302	-13.706004
23109_irnt	-13.260049	19.043287
5264_irnt	6.1176147	26.798607
5263_irnt	7.088221	25.478666
23110_irnt	-14.240112	19.398495
23100_irnt	21.05062	-12.524924
23128_irnt	20.472923	-11.720113
20151_irnt	25.523888	5.508302
5255_irnt	7.6682053	25.183992
23116_irnt	21.53907	-13.809047
30010_irnt	19.72661	0.18647008
23112_irnt	21.1684	-13.529127
23124_irnt	21.670788	-11.878093
23120_irnt	21.847292	-12.087388
23099_irnt	19.188818	-13.71613
2395_1	8.379406	9.163182
23123_irnt	19.733095	-12.55058
49_irnt	23.867956	-12.201987
20016_irnt	-3.987287	11.560175
23119_irnt	19.852957	-12.478836
23111_irnt	20.554045	-14.954807
23115_irnt	19.87431	-14.826119
23127_irnt	19.347813	-12.122107
30070_irnt	4.3311367	-5.6954374
30210_irnt	13.738531	18.786768
20150_irnt	24.126581	5.8221803
30700_irnt	12.469888	0.57771426
30120_irnt	17.308033	5.5254955
3062_irnt	24.76756	5.380156
2714	13.076291	3.1911802
48_irnt	21.735859	-10.438858
20154_irnt	24.57121	6.623898
2395_4	7.898995	10.952109
